state,state_code,month,year,deaths,population,rate
Colorado,8,1,2018,60,5697155,1.053157234
Colorado,8,2,2018,54,5697155,0.94784151
Colorado,8,3,2018,53,5697155,0.93028889
Colorado,8,4,2018,50,5697155,0.877631028
Colorado,8,5,2018,54,5697155,0.94784151
Colorado,8,6,2018,38,5697155,0.666999581
Colorado,8,7,2018,52,5697155,0.912736269
Colorado,8,8,2018,54,5697155,0.94784151
Colorado,8,9,2018,39,5697155,0.684552202
Colorado,8,10,2018,43,5697155,0.754762684
Colorado,8,11,2018,42,5697155,0.737210064
Colorado,8,12,2018,61,5697155,1.070709854
Colorado,8,13,2019,60,5758486,1.041940538
Colorado,8,14,2019,47,5758486,0.816186755
Colorado,8,15,2019,54,5758486,0.937746484
Colorado,8,16,2019,52,5758486,0.903015133
Colorado,8,17,2019,49,5758486,0.850918106
Colorado,8,18,2019,46,5758486,0.798821079
Colorado,8,19,2019,61,5758486,1.059306213
Colorado,8,20,2019,49,5758486,0.850918106
Colorado,8,21,2019,49,5758486,0.850918106
Colorado,8,22,2019,59,5758486,1.024574862
Colorado,8,23,2019,59,5758486,1.024574862
Colorado,8,24,2019,84,5758486,1.458716753
Colorado,8,25,2020,67,5787129,1.157741602
Colorado,8,26,2020,66,5787129,1.140461877
Colorado,8,27,2020,79,5787129,1.365098307
Colorado,8,28,2020,102,5787129,1.762531991
Colorado,8,29,2020,101,5787129,1.745252266
Colorado,8,30,2020,74,5787129,1.27869968
Colorado,8,31,2020,85,5787129,1.468776659
Colorado,8,32,2020,105,5787129,1.814371167
Colorado,8,33,2020,78,5787129,1.347818582
Colorado,8,34,2020,68,5787129,1.175021328
Colorado,8,35,2020,81,5787129,1.399657758
Colorado,8,36,2020,80,5787129,1.382378032
Colorado,8,37,2021,107,5814036,1.840373881
Colorado,8,38,2021,78,5814036,1.34158096
Colorado,8,39,2021,114,5814036,1.960772173
Colorado,8,40,2021,108,5814036,1.857573637
Colorado,8,41,2021,116,5814036,1.995171685
Colorado,8,42,2021,121,5814036,2.081170464
Colorado,8,43,2021,121,5814036,2.081170464
Colorado,8,44,2021,142,5814036,2.442365338
Colorado,8,45,2021,124,5814036,2.132769732
Colorado,8,46,2021,98,5814036,1.685576078
Colorado,8,47,2021,99,5814036,1.702775834
Colorado,8,48,2021,89,5814036,1.530778275
Colorado,8,49,2022,119,5850935,2.033862964
Colorado,8,50,2022,105,5850935,1.794584968
Colorado,8,51,2022,78,5850935,1.333120262
Colorado,8,52,2022,94,5850935,1.606580829
Colorado,8,53,2022,117,5850935,1.999680393
Colorado,8,54,2022,75,5850935,1.281846406
Colorado,8,55,2022,101,5850935,1.726219826
Colorado,8,56,2022,95,5850935,1.623672114
Colorado,8,57,2022,97,5850935,1.657854685
Colorado,8,58,2022,108,5850935,1.845858824
Colorado,8,59,2022,105,5850935,1.794584968
Colorado,8,60,2022,116,5850935,1.982589108
Colorado,8,61,2023,107,5901339,1.81314783
Colorado,8,62,2023,106,5901339,1.796202523
Colorado,8,63,2023,102,5901339,1.728421296
Colorado,8,64,2023,120,5901339,2.033436818
Colorado,8,65,2023,128,5901339,2.168999273
Colorado,8,66,2023,110,5901339,1.86398375
Colorado,8,67,2023,113,5901339,1.914819671
Colorado,8,68,2023,109,5901339,1.847038443
Colorado,8,69,2023,110,5901339,1.86398375
Colorado,8,70,2023,100,5901339,1.694530682
Colorado,8,71,2023,126,5901339,2.135108659
